datetime,title,crime_type,address,zip
2016-10-27T21:00:00-04:00,"Five arrested, three loaded guns seized after gunfire in Dorchester",Gunfire,14 Rill St.,02125
2016-10-27T15:55:00-04:00,Detail cop foils West Roxbury bank robbery,Bank robbery,77 Spring St.,02132
2016-10-25T22:15:00-04:00,Dorchester store clerk beaten in robbery attempt,Assault and battery,6 Glenway St.,02121
2016-10-25T06:22:00-04:00,Man wanted for failed kidnapping in Roxbury,Attempted kidnapping,Blue Hill Ave. and Brookford St.,02119
2016-10-24T18:45:00-04:00,Shots fired across from Ronan Park in Dorchester,Gunfire,142 Adams St.,02122
2016-10-24T13:40:00-04:00,Man shot in face a block from Boston Medical Center,Shooting,Melnea Cass Blvd. and Massachusetts Ave.,02119
2016-10-23T11:30:00-04:00,Man found shot to death in Hyde Park,Murder,36 Williams Ave.,02136
2016-10-22T17:15:00-04:00,Police say one homeless man killed another in Newmarket Square fight,Murder,1071 Massachusetts Ave.,02118
2016-10-21T20:47:00-04:00,Man charged with Dorchester pistol whipping,Assault and battery with a dangerous weapon,97 Fuller St.,02124
2016-10-20T22:30:00-04:00,Gunfire in a Dorchester park,Gunfire,Harambee Park,02124
2016-10-19T22:40:00-04:00,Person shot in the head in Roxbury,Murder,25 Nazing St.,02121
2016-10-18T17:55:00-04:00,Person shot on Dorchester Avenue,Murder,1631 Dorchester Ave.,02122
2016-10-17T22:15:00-04:00,Car stolen from Egleston Square gas station with baby in back seat,Carjacking,Washington St. and West Walnut Park,02119
2016-10-15T16:00:00-04:00,2-year-old girl shot in Roxbury in possible gang hit on father,Shooting,Winslow St. and Zeigler St.,02119
2016-10-14T16:00:00-04:00,Serial bank robber strikes again - robs same Brigham Circle bank he robbed last month,Bank robbery,6 Francis St.,02115
2016-10-13T21:40:00-04:00,Woman robbed at knifepoint in the Fens,Armed robbery,81 Agassiz Rd.,02215
2016-10-12T23:05:00-04:00,Two cops shot in East Boston gun battle; suspect dead,Shooting,136 Gladstone St.,02128
2016-10-12T15:00:00-04:00,Woman robbed at gunpoint in Mission Hill park,Armed robbery,Bucknam St. and Fisher Ave.,02120
2016-10-12T14:40:00-04:00,Boylston Street bank held up,Bank robbery,575 Boylston St.,02116
2016-10-12T13:40:00-04:00,Man robbed at gunpoint at Centre and Wyman in Jamaica Plain,Armed robbery,Centre St. and Wyman St.,02130
2016-10-11T04:00:00-04:00,"Man breaks into South End apartment, sexually attacks both occupants",Rape,Clarendon St. and Columbus Avenue,02116
2016-10-09T23:30:00-04:00,Two stabbed in separate incidents in Roxbury,Stabbing,Blue Hill Ave. and Dewey St.,02119
2016-10-09T23:30:00-04:00,Two stabbed in separate incidents in Roxbury,Stabbing,36 Edgewood St.,02119
2016-10-09T13:38:00-04:00,Man sought for attempted rape in Mission Hill park,Attempted rape,Kevin W. Fitzgerald Park,02121
2016-10-09T03:32:00-04:00,Person shot in Mattapan; three arrested,Shooting,156 Standard St.,02126
2016-10-09T01:00:00-04:00,"Girl, 9, shot in the back in Roxbury",Shooting,63 Annunciation Rd.,02120
2016-10-08T22:55:00-04:00,Man shot to death near Egleston Square,Murder,5 Cleaves Ct.,02119
2016-10-08T17:20:00-04:00,Barrage of gunfire on Mass. Ave. between Shawmut and Washington,Gunfire,623 Massachusetts Ave.,02118
2016-10-08T13:22:00-04:00,Armed robbers make getaway in Zipcar,Armed robbery,Columbus Ave. and Massachusetts Ave.,02118
2016-10-08T01:45:00-04:00,Man critically injured in closing-time stabbing on Stuart Street,Stabbing,100 Stuart St.,02116
2016-10-07T23:55:00-04:00,Person stabbed in South Boston,Stabbing,350 E. 8 St.,02127
2016-10-07T22:55:00-04:00,Man stabbed at Boylston and Tremont streets,Stabbing,Tremont St. and Boylston St.,02116
2016-10-07T00:07:00-04:00,DA: Woman told husband she would stab him and then she did - fatally,Murder,88 Wensley St.,02120
2016-10-07T00:00:00-04:00,"Chinatown fight leaves one stabbed, one smacked in the head with a cane",Stabbing,Beach St.,02111
2016-10-06T18:45:00-04:00,Man fatally shot in the head in Roxbury,Murder,Dearborn St. and Zeigler St.,02119
2016-10-04T16:45:00-04:00,Both suspects in Roslindale gun battle now in custody,Gunfire,37 Newburg St.,02116
2016-10-04T06:15:00-04:00,South Street Diner held up,Armed robbery,178 Kneeland St.,02111
2016-10-02T16:55:00-04:00,"Man shot in Dorchester; not long after, three arrested on gun charges nearby",Shooting,Bowdoin Ave. and Eldon St.,02121
2016-10-01T16:55:00-04:00,Man stabbed in the arm in Dorchester,Stabbing,1 Shandon Rd.,02124
2016-10-01T04:40:00-04:00,Person shot on Hartford Street in Dorchester,Shooting,Hartford St.,02125
2016-09-29T18:45:00-04:00,Police: Dorchester man arrested with loaded gun where another man was shot to death,Illegal gun possession,55 Downer Ave.,02125
2016-09-29T01:41:00-04:00,Police look for gunpoint rapist in Jamaica Plain,Rape,24 Gay Head St.,02130
2016-09-27T15:00:00-04:00,Man sought for gunpoint holdup of Dorchester credit union,Bank robbery,494 Gallivan Blvd.,02124
2016-09-27T01:05:00-04:00,Man shot to death in Bromley-Heath,Murder,267 Centre St.,02130
2016-09-25T20:15:00-04:00,Shots fired on Mt. Ida Road in Dorchester,Gunfire,75 Mt. Idea Rd.,02122
2016-09-25T02:15:00-04:00,Seven  stabbed in Theater District as clubs let out,Stabbing,279 Tremont St.,02116
2016-09-25T02:08:00-04:00,Man shot on Newbury Street early Sunday,Shooting,Newbury St. and Clarendon St.,02116
2016-09-24T02:00:00-04:00,"Closing-time &#039;riot-like situation&#039; outside downtown club ended with five arrests, four cops injured",Assault and battery,295 Franklin St.,02110
2016-09-24T00:30:00-04:00,Woman sexually attacked in what she thought was a ride share car in Allston,Sexual assault,161 Brighton Ave.,02134
2016-09-23T21:10:00-04:00,Man stabbed in South Boston,Stabbing,McDonough Way,02127
2016-09-22T22:00:00-04:00,Police investigate indecent assault on two women on Jamaica Pond path,Indecent assault and battery,Jamaicaway and Pond St.,02130
